condition,coherence,time,invtime,stimulus,decision
3,0.5,26,4,0,1
3,0.5,27,3,1,1
3,0.5,28,2,1,1
3,0.5,29,1,0,1
3,0.5,1,14,1,0
3,0.5,2,13,0,0
3,0.5,3,12,1,0
3,0.5,4,11,0,0
3,0.5,5,10,0,0
3,0.5,6,9,0,0
3,0.5,7,8,0,0
3,0.5,8,7,1,0
3,0.5,9,6,1,0
3,0.5,10,5,1,0
3,0.5,11,4,1,0
3,0.5,12,3,0,0
3,0.5,13,2,0,0
3,0.5,14,1,0,0
3,0.28,1,11,0,0
3,0.28,2,10,0,0
3,0.28,3,9,1,0
3,0.28,4,8,0,0
3,0.28,5,7,0,0
3,0.28,6,6,0,0
3,0.28,7,5,0,0
3,0.28,8,4,1,0
3,0.28,9,3,1,0
3,0.28,10,2,0,0
3,0.28,11,1,0,0
3,0.5,1,17,1,1
3,0.5,2,16,1,1
3,0.5,3,15,1,1
3,0.5,4,14,1,1
3,0.5,5,13,0,1
3,0.5,6,12,0,1
3,0.5,7,11,1,1
3,0.5,8,10,0,1
3,0.5,9,9,1,1
3,0.5,10,8,1,1
3,0.5,11,7,0,1
3,0.5,12,6,1,1
3,0.5,13,5,0,1
3,0.5,14,4,1,1
3,0.5,15,3,1,1
3,0.5,16,2,1,1
3,0.5,17,1,0,1
3,0.5,1,10,1,1
3,0.5,2,9,1,1
3,0.5,3,8,0,1
3,0.5,4,7,1,1
3,0.5,5,6,1,1
3,0.5,6,5,0,1
3,0.5,7,4,1,1
3,0.5,8,3,0,1
3,0.5,9,2,1,1
3,0.5,10,1,1,1
3,0.28,1,9,1,0
3,0.28,2,8,0,0
3,0.28,3,7,1,0
3,0.28,4,6,0,0
3,0.28,5,5,0,0
3,0.28,6,4,0,0
3,0.28,7,3,0,0
3,0.28,8,2,0,0
3,0.28,9,1,0,0
3,0.28,1,14,1,0
3,0.28,2,13,0,0
3,0.28,3,12,0,0
3,0.28,4,11,1,0
3,0.28,5,10,0,0
3,0.28,6,9,0,0
3,0.28,7,8,1,0
3,0.28,8,7,0,0
3,0.28,9,6,0,0
3,0.28,10,5,1,0
3,0.28,11,4,0,0
3,0.28,12,3,0,0
3,0.28,13,2,1,0
3,0.28,14,1,0,0
3,0.5,1,12,1,1
3,0.5,2,11,1,1
3,0.5,3,10,1,1
3,0.5,4,9,0,1
3,0.5,5,8,1,1
3,0.5,6,7,1,1
